Test suite file,states,inputs,outputs,transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,EventSequence_Levenshtein_AverageValue,EventSequence_Levenshtein_SquaredSummation,EventSequence_Levenshtein_Manhattan,EventSequence_Levenshtein_Euclidean,EventSequence_SimpsonDiversity_AverageValue,EventSequence_SimpsonDiversity_SquaredSummation,EventSequence_SimpsonDiversity_Manhattan,EventSequence_SimpsonDiversity_Euclidean,EventSequence_Hamming_AverageValue,EventSequence_Hamming_SquaredSummation,EventSequence_Hamming_Manhattan,EventSequence_Hamming_Euclidean,EventSequence_ShannonIndex,EventSequence_Nei,EventStatePairs_Levenshtein_AverageValue,EventStatePairs_Levenshtein_SquaredSummation,EventStatePairs_Levenshtein_Manhattan,EventStatePairs_Levenshtein_Euclidean,EventStatePairs_SimpsonDiversity_AverageValue,EventStatePairs_SimpsonDiversity_SquaredSummation,EventStatePairs_SimpsonDiversity_Manhattan,EventStatePairs_SimpsonDiversity_Euclidean,EventStatePairs_Hamming_AverageValue,EventStatePairs_Hamming_SquaredSummation,EventStatePairs_Hamming_Manhattan,EventStatePairs_Hamming_Euclidean,EventStatePairs_ShannonIndex,EventStatePairs_Nei,StateSequence_Levenshtein_AverageValue,StateSequence_Levenshtein_SquaredSummation,StateSequence_Levenshtein_Manhattan,StateSequence_Levenshtein_Euclidean,StateSequence_SimpsonDiversity_AverageValue,StateSequence_SimpsonDiversity_SquaredSummation,StateSequence_SimpsonDiversity_Manhattan,StateSequence_SimpsonDiversity_Euclidean,StateSequence_Hamming_AverageValue,StateSequence_Hamming_SquaredSummation,StateSequence_Hamming_Manhattan,StateSequence_Hamming_Euclidean,StateSequence_ShannonIndex,StateSequence_Nei
TR_TestSuite852.txt,10,8,4,80,2738,1824,0.6661797,2.36016,14939,5865,122.2252,0.87354,0.76307,0.87354,0.87354,1.81207,8917,4503,94.42987,2.66984,0.654,2.40765,15471,5983,124.38247,0.88481,0.78289,0.88481,0.88481,1.82414,9013,4533,94.93682,3.08732,0.66181,2.26841,14113,5637,118.79815,0.83966,0.70503,0.83966,0.83966,1.73078,8411,4301,91.7115,2.07999,0.61982
TR_TestSuite1013.txt,10,8,4,80,2738,1824,0.6661797,2.35855,14923,5861,122.15973,0.87426,0.76433,0.87426,0.87426,1.81207,8917,4503,94.42987,2.68167,0.654,2.41328,15545,5997,124.67959,0.88529,0.78373,0.88529,0.88529,1.82978,9055,4547,95.15776,3.10011,0.66332,2.26841,14113,5637,118.79815,0.83966,0.70503,0.83966,0.83966,1.73078,8411,4301,91.7115,2.07999,0.61982
TR_TestSuite56.txt,10,8,4,80,2738,1824,0.6661797,2.3163,14392,5756,119.96666,0.86493,0.74811,0.86493,0.86493,1.81207,8909,4503,94.3875,2.60276,0.654,2.41328,15545,5997,124.67959,0.88505,0.78331,0.88505,0.88505,1.82978,9055,4547,95.15776,3.09783,0.66332,2.26801,14096,5636,118.72658,0.8399,0.70543,0.8399,0.8399,1.73078,8401,4301,91.65697,2.08139,0.61982
TR_TestSuite688.txt,10,8,4,80,2738,1824,0.6661797,2.38068,15192,5916,123.25583,0.8745,0.76474,0.8745,0.8745,1.83179,9186,4552,95.84362,2.68722,0.65886,2.43018,15751,6039,125.50299,0.88648,0.78585,0.88648,0.88648,1.84668,9309,4589,96.48316,3.10069,0.66743,2.28531,14305,5679,119.60351,0.84038,0.70624,0.84038,0.84038,1.74769,8667,4343,93.09672,2.0829,0.62399
TR_TestSuite528.txt,10,8,4,80,2738,1824,0.6661797,2.38028,15187,5915,123.23555,0.87474,0.76516,0.87474,0.87474,1.83461,9207,4559,95.95311,2.69276,0.65962,2.43018,15751,6039,125.50299,0.88648,0.78585,0.88648,0.88648,1.84668,9309,4589,96.48316,3.10069,0.66743,2.28531,14305,5679,119.60351,0.84038,0.70624,0.84038,0.84038,1.74769,8667,4343,93.09672,2.0829,0.62399
TR_TestSuite57.txt,10,8,4,80,2738,1824,0.6661797,2.31388,14360,5750,119.83322,0.8647,0.7477,0.8647,0.8647,1.80926,8888,4496,94.27619,2.59722,0.65325,2.41328,15545,5997,124.67959,0.88505,0.78331,0.88505,0.88505,1.82978,9055,4547,95.15776,3.09783,0.66332,2.26801,14096,5636,118.72658,0.8399,0.70543,0.8399,0.8399,1.73078,8401,4301,91.65697,2.08139,0.61982
TR_TestSuite1000.txt,10,8,4,80,2738,1824,0.6661797,2.35453,14875,5851,121.96311,0.87569,0.76684,0.87569,0.87569,1.81207,8917,4503,94.42987,2.69541,0.654,2.41328,15545,5997,124.67959,0.88505,0.78331,0.88505,0.88505,1.82978,9055,4547,95.15776,3.09783,0.66332,2.26801,14096,5636,118.72658,0.8399,0.70543,0.8399,0.8399,1.73078,8397,4301,91.63515,2.08139,0.61982
TR_TestSuite52.txt,10,8,4,80,2738,1824,0.6661797,2.38109,15197,5917,123.27611,0.87211,0.76057,0.87211,0.87211,1.85433,9478,4608,97.35502,2.65525,0.66448,2.45272,16031,6095,126.61359,0.88816,0.78882,0.88816,0.88816,1.86922,9605,4645,98.0051,3.11874,0.67304,2.30503,14540,5728,120.58192,0.84229,0.70946,0.84229,0.84229,1.7674,8930,4392,94.49868,2.0925,0.62885
TR_TestSuite840.txt,10,8,4,80,2738,1824,0.6661797,2.35372,14857,5849,121.88929,0.87474,0.76516,0.87474,0.87474,1.80926,8896,4496,94.31861,2.67804,0.65325,2.40765,15471,5983,124.38247,0.88457,0.78247,0.88457,0.88457,1.82414,9013,4533,94.93682,3.08504,0.66181,2.26801,14096,5636,118.72658,0.8399,0.70543,0.8399,0.8399,1.73078,8397,4301,91.63515,2.08139,0.61982
TR_TestSuite1001.txt,10,8,4,80,2738,1824,0.6661797,2.35211,14841,5845,121.82364,0.87545,0.76642,0.87545,0.87545,1.80926,8896,4496,94.31861,2.68987,0.65325,2.41328,15545,5997,124.67959,0.88505,0.78331,0.88505,0.88505,1.82978,9055,4547,95.15776,3.09783,0.66332,2.26801,14096,5636,118.72658,0.8399,0.70543,0.8399,0.8399,1.73078,8397,4301,91.63515,2.08139,0.61982
